species,pop,author,lat,lon,num_individuals,num_loci,gene_diversity,global_fst,popden,poplvlsd,adult_mass_g,site_PET_mm_yr,PET_mean,AET_mean,lc_5kSI,lc_20kSI,lc_50kSI,lc_100kSI
Alces_alces,Anchorage_Wilson,Wilson,61.23664,-149.70086,40,10,0.513813,0.00566,268.1371433,35,481000,635.4097693,694.50474,368.662966,0.843016255,0.865990512,0.867472217,0.852314013
Alces_alces,KenaiPeninsula_Wilson,Wilson,59.95304,-151.35281,49,10,0.429134,0.171458,1.447999954,34,481000,644.0607735,694.50474,368.662966,0.784357605,0.767899074,0.732989322,0.728472291
Antilocapra_americana,Y10T-B063T,Dunn,47.378986,-114.25928,175,19,0.672249,NA,3.416666667,63,46900,1277.829314,1615.389767,291.86981,0.727888307,0.619050661,0.572536456,0.610453025
Bison_bison,Alaska_Wildlife_Conservation_Ctr_Cronin_PBWB,Cronin,60.825211,-148.98321,25,29,0.426329,0.181296,1.039999962,38,620000,545.3535912,745.936049,346.543395,0.779503617,0.830049493,0.844466443,0.826754713
Bison_bison,Copper_River_Alaska_Cronin_PBWB,Cronin,60.403546,-144.96083,7,29,0.430683,0.144268,0.519999981,32,620000,525.3630363,745.936049,346.543395,0.818010579,0.776061974,0.724020313,0.716549789
Bison_bison,Delta_Alaska_Cronin_PBWB,Cronin,63.382854,-145.79357,31,29,0.465966,0.122721,1.039999962,37,620000,561.7267157,745.936049,346.543395,0.690335311,0.743156674,0.762973998,0.743219182
Bison_bison,Henry_Mts_Utah_Cronin_PBWB,Cronin,38.109068,-110.81371,29,29,0.460631,0.127083,1.039999962,69,620000,1674.273707,745.936049,346.543395,0.402785066,0.415428637,0.468997031,0.519984831
Bison_bison,MacKenzie_Bison_Sanctuary_Cronin_PBWB,Cronin,61.365001,-117.65932,10,29,0.451897,0.113542,1.297499955,34,620000,703.3522427,745.936049,346.543395,0.644021113,0.768405776,0.793718372,0.791812522
Bison_bison,National__Bison_Range_Cronin_PBWB,Cronin,47.37713,-114.2598,24,29,0.484151,0.085638,3.416666667,63,620000,1277.868519,745.936049,346.543395,0.727393738,0.618803473,0.572497612,0.610240952
Bison_bison,Wood_Buffalo_National__Park_Cronin_PBWB,Cronin,59.610641,-112.96514,30,29,0.493251,0.076465,1.039999962,42,620000,716.9065551,745.936049,346.543395,0.710788086,0.672515951,0.709704993,0.751198783
Bison_bison,Yellowstone_NP_Cronin_PBWB,Cronin,44.569752,-110.60205,28,29,0.51024,0.048851,1.039999962,66,620000,1063.364706,745.936049,346.543395,0.668642463,0.642236698,0.677182998,0.704570959
Canis_latrans,Heppenheimer_Alabama_Barbour,Heppenheimer,31.8183,-85.3554,6,10,0.779167,-0.00099,12.00333309,52,12000,1573.414352,1039.96886,386.117248,0.82422332,0.844289,0.859301506,0.871198796
Canis_latrans,Heppenheimer_Alabama_Macon,Heppenheimer,32.37502,-85.6851,9,10,0.7769,0.034167,8.660000086,52,12000,1562.223502,1039.96886,386.117248,0.846760773,0.84848361,0.840042089,0.856884124
Canis_latrans,Heppenheimer_Florida_Alachua,Heppenheimer,29.65781,-82.30164,9,10,0.790982,0.016775,506.9733311,46,12000,1635.934118,1039.96886,386.117248,0.770012323,0.776923843,0.820892356,0.803837995
Canis_latrans,Heppenheimer_Florida_Bay,Heppenheimer,30.18303,-85.68636,10,10,0.7735,0.045532,473.5299988,44,12000,1648.582418,1039.96886,386.117248,0.731495473,0.730992877,0.72303415,0.717842145
Canis_latrans,Heppenheimer_Florida_Columbia,Heppenheimer,30.18406,-82.60712,5,10,0.771,-0.029357,104.4299994,48,12000,1621.115023,1039.96886,386.117248,0.784709052,0.775291071,0.793528715,0.815571614
Canis_latrans,Heppenheimer_Florida_Escambia,Heppenheimer,30.63879,-87.3417,10,10,0.804278,0.006989,128.8299955,46,12000,1602.56872,1039.96886,386.117248,0.840820877,0.832193089,0.807941934,0.793985978
